bus_index,bus_label,true_vm_pu,true_va_deg,pandapower_vm_pu,pandapower_va_deg,pandapower_vm_err_pu,pandapower_va_err_deg,Rust_StateRustimation_vm_pu,Rust_StateRustimation_va_deg,Rust_StateRustimation_vm_err_pu,Rust_StateRustimation_va_err_deg
87,87,1.05000000,-5.28657617,1.05027480,-5.28954569,2.74796431e-04,2.96952016e-03,1.05035308,-5.28729102,3.53076132e-04,7.14847635e-04
88,88,1.05000000,-5.41935567,1.05029599,-5.43256482,2.95993481e-04,1.32091499e-02,1.05038154,-5.43039306,3.81540759e-04,1.10373878e-02
89,89,1.04668513,6.32065260,1.04674007,6.32290240,5.49477628e-05,2.24979566e-03,1.04685060,6.32149070,1.65478392e-04,8.38094291e-04
90,90,1.05000000,10.77041150,1.05027711,10.79738735,2.77112115e-04,2.69758441e-02,1.05047008,10.79277497,4.70081751e-04,2.23634725e-02
91,91,1.05000000,10.89963658,1.05020745,10.88092367,2.07451483e-04,1.87129132e-02,1.05040217,10.87621882,4.02171147e-04,2.34177599e-02
92,92,1.04772700,23.35825890,1.04779680,23.35818218,6.98081556e-05,7.67195359e-05,1.04795481,23.35194127,2.27817574e-04,6.31762667e-03
93,93,1.05000000,31.60893109,1.05083870,31.59605972,8.38703197e-04,1.28713602e-02,1.05095697,31.59084522,9.56965934e-04,1.80858602e-02
94,94,1.04889449,23.18191964,1.04893076,23.18388162,3.62718065e-05,1.96197465e-03,1.04908953,23.17741893,1.95040312e-04,4.50070964e-03
95,95,1.05000000,31.05596178,1.05006703,31.07414677,6.70349757e-05,1.81849857e-02,1.05031064,31.06848555,3.10635231e-04,1.25237704e-02
96,96,1.05000000,31.05142701,1.04995614,31.08743943,4.38635795e-05,3.60124242e-02,1.05024437,31.06644442,2.44368236e-04,1.50174189e-02
97,97,1.04995378,28.03635728,1.04997420,28.04154362,2.04185303e-05,5.18633212e-03,1.05015083,28.03377325,1.97051904e-04,2.58403289e-03
98,98,1.05000000,36.16109595,1.05071891,36.20800549,7.18911365e-04,4.69095448e-02,1.05086400,36.19763016,8.64002646e-04,3.65342089e-02
99,99,1.05000000,35.46536400,1.05019383,35.47351573,1.93829259e-04,8.15173258e-03,1.05045191,35.46227150,4.51907784e-04,3.09249148e-03
100,100,1.05000000,36.09706655,1.05042513,36.04723838,4.25126855e-04,4.98281702e-02,1.05063063,36.03688307,6.30626820e-04,6.01834759e-02
